Subject,Task,Body Shape,Peak,InitialPeak,MomentPeak,kneeMrange,SecondPeak
13,OCHA,Normal BMI,24.338625625,3.04529375,1.143618625,1.28151425,0.46751912500000004
13,OCHB,Normal BMI,25.0945955,11.1873054,1.282578,1.4980525,0.20671239999999996
13,OCMA,Normal BMI,26.91072488888889,5.755876777777778,1.2688902222222223,1.4360763333333333,0.48482577777777774
13,OCMB,Normal BMI,25.02476625,10.207753,1.238931,1.461522375,0.218551
13,PRF,Normal BMI,25.10852511111111,9.900132777777777,1.0018880000000001,1.249314111111111,0.4868378888888889
14,FF,Normal BMI,35.348869875,14.004116625,1.527657125,1.691374625,-0.038178125
14,OCHA,Normal BMI,27.149321800000003,9.7310057,0.8644328,0.8528115,-0.0490006
14,OCHB,Normal BMI,30.016382299999997,13.105399599999998,1.1387892000000002,1.1973947,0.15703850000000003
14,OCMA,Normal BMI,27.3756306,11.0431683,0.9763689,1.0026637,-0.028732999999999998
14,OCMB,Normal BMI,27.3756306,10.9120019,1.1159016000000002,1.1999065,-0.0330893
14,PRF,Normal BMI,30.369906666666665,15.818963777777778,1.0176255555555556,1.0766977777777778,0.007572333333333334
17,FF,Pear,17.278350857142858,8.925880571428571,0.9093714285714285,0.9732417142857143,0.36173285714285713
17,OCHA,Pear,11.5401286,3.2503287999999997,0.42780880000000004,0.39066340000000005,0.33296359999999997
17,OCHB,Pear,12.3194935,8.6832955,0.60601075,0.6300215,0.143952
17,OCMA,Pear,13.0647456,3.3987006,0.591952,0.553167,0.32222300000000004
17,OCMB,Pear,13.5678273,7.5737105,0.7535784,0.7656015,0.3121833
17,PRF,Pear,17.287535333333334,9.16974075,0.8315611666666666,0.8579452499999999,0.27078216666666666
18,FF,Apple,28.5860965,19.346103166666666,1.5602565000000002,1.6042276666666666,0.3513583333333334
18,OCHA,Apple,9.432789714285715,7.921749571428571,0.5101082857142857,0.668452,0.23970642857142857
18,OCHB,Apple,18.139626555555555,14.377144333333332,0.8607926666666667,0.9367663333333334,0.09952166666666666
18,OCMA,Apple,11.40504575,11.096196875,0.57342275,0.666342125,0.197402625
18,OCMB,Apple,18.25441611111111,14.527893555555558,0.9585672222222222,1.0409034444444445,0.12200011111111111
18,PRF,Apple,19.64936525,14.99478775,1.09936325,1.140378375,0.222107625
19,FF,Pear,12.888763428571428,11.207043428571428,0.5973531428571429,0.8922724285714285,0.2791868571428571
19,OCHA,Pear,-0.354496,-4.136378333333333,0.08362655555555555,0.2058623333333333,0.21351077777777777
19,OCHB,Pear,13.3590026,9.531597600000001,0.5747652999999999,0.7498594,0.1246315
19,OCMA,Pear,1.1961455,0.23354979999999997,0.1004344,0.2975581,0.2212517
19,OCMB,Pear,9.735884,9.269485399999999,0.47245210000000004,0.6201669,0.1508181
19,PRF,Pear,10.1577758,10.0975732,0.3321444,0.48662700000000003,0.21571759999999998
21,FF,Apple,20.027839625,12.364714875,1.056671375,1.247995375,0.572444375
21,OCHA,Apple,14.089008222222223,3.2697045555555553,0.5022035555555555,0.630906,0.4035424444444444
21,OCHB,Apple,13.383003875,5.90052125,0.6881904999999999,0.76342775,0.579762875
21,OCMA,Apple,14.914681555555555,3.812576,0.5681363333333334,0.6749341111111111,0.49032166666666666
21,OCMB,Apple,13.6815089,6.514308700000001,0.6671101,0.7352158,0.3889862
21,PRF,Apple,12.581903166666669,8.8280885,0.5645278333333333,0.646804,0.2809705
22,FF,Apple,16.134106,11.794911375,0.7441335,0.80417775,0.248577625
22,OCHA,Apple,7.682463333333334,-1.178645,0.11915333333333333,0.226009,0.23266066666666665
22,OCHB,Apple,13.15247542857143,6.462766,0.43717799999999996,0.5397428571428572,0.19942142857142858
22,OCMA,Apple,7.625625199999999,3.8045808,0.18678319999999998,0.20114359999999998,0.209837
22,OCMB,Apple,12.085107,6.838877833333332,0.3821508333333334,0.5305228333333333,0.14853883333333331
